랭킹,채널명,카테고리,구독자수(단위:만),조회수(단위:만)
521,LCK,게임,59,32284
522,홀리 holy,뷰티,59,13052
523,Spinel CAM,팬심,59,61720
524,Official Dopa,게임,59,23221
525,지니어드벤쳐GeniAdventure,키즈,59,57938
526,홍시네마,리뷰,59,16798
527,sini시니,먹방,59,2297
528,SINCOOK - 신쿡,먹방,59,1144
529,최홍철,일상,59,19125
530,맛상무,푸드,58,2635
531,연합뉴스TV,시사,58,74265
532,소윤Soyoon,뷰티,58,5022
533,백만뷰,엔터테인먼트,58,37127
534,초의 데일리쿡Cho's daily cook,푸드,58,4911
535,Q2HAN,뷰티,58,5716
536,다이아나Diana,댄스,58,15470
537,바다곰조해웅Haewoong,ASMR,58,1718
538,우파푸른하늘Woopa TV,리뷰,58,25106
539,leeanfilm리안,뷰티,58,4356
540,Joan Kim,뷰티,58,4622
541,DAZZLING,댄스,58,5789
542,UNDERkg,리뷰,57,27772
543,1등 미디어,기획,57,22893
544,김메주와 고양이들,펫,57,17433
545,여락이들_,일상,57,11535
546,친친모 CarrieFriends,키즈,57,59523
547,눈쟁이,게임,57,21103
548,공돌이 용달,지식,57,14825
549,다영 DAYEONG,뷰티,57,7204
550,팩트TV NEWS,시사,57,44970
